Ranking,Island ,State,Location
1,Langkawi Island,Kedah,Northwest of Peninsular Malaysia
2,Perhentian Island,Terengganu,Northeast of Peninsular Malaysia
3,Tioman Island,Pahang,East coast of Peninsular Malaysia
4,Redang Island,Terengganu,East coast of Peninsular Malaysia
5,Mabul Island,Sabah,South-eastern coast of Sabah
6,Sipadan Island,Sabah,East coast of Sabah
7,Tenggol Island,Terengganu,East coast of peninsular Malaysia
8,Penang Island,Penang,Northwest of Peninsular Malaysia
9,Kapas Island,Terengganu,East coast of Peninsular Malaysia
10,Pangkor Island,Perak,West coast of peninsular Malaysi
