Year,Receipts Amount,Growth Percentage
1998,8580400000,0
1999,12321300000,43.59820055
2000,17335400000,40.69456957
2001,24221500000,39.72276382
2002,25781100000,6.438907582
2003,21291100000,-17.4158589
2004,29651400000,39.26664193
2005,31954100000,7.7659065
2006,36271700000,13.5118811
2007,46070000000,27.01362219
2008,49561200000,7.578033427
2009,53367700000,7.680403219
2010,56492500000,5.855227038
2011,58315900000,3.227685091
2012,60556700000,3.842519793
2013,65443300000,8.069462173
2014,71998800000,10.01706821
2015,69119600000,-3.998955538
2016,82098200000,18.77701839
2017,82165000000,0.081365974
2018,84135200000,2.397857969
2019,86143500000,2.386991414
2020,12688200000,-85.27085619
